search_name,artist_id,artist_name,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url,song_id,song_artist_names,song_title,song_annotation_count,song_api_path,song_full_title,song_header_image_thumbnail_url,song_header_image_url,song_lyrics_owner_id,song_lyrics_state,song_path,song_pyongs_count,song_song_art_image_thumbnail_url,song_song_art_image_url,song_title_with_featured,song_url,lyrics
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555313,Andy Shauf,Wasted On You,6,/songs/8555313,Wasted On You by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,8459032,complete,/Andy-shauf-wasted-on-you-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Wasted On You,https://genius.com/Andy-shauf-wasted-on-you-lyrics,"9 ContributorsWasted On You Lyrics[Verse 1]
What happens when they die? Maybe eternal life
But only if they find me
Maybe I'll send you down
Give them a clue
Then they'll kill you
And I will ask them

[Chorus]
Was all my love wasted on you?
Was all my love wasted on you?

[Verse 2]
What if they never hear about you at all?
Or what if they ignore you?
Would their fate be the same?
Well, yeah, I guess
But first they'd face me
And I would ask them

[Chorus]
Was all my love wasted on you?
Was all my lovе wasted on you?

[Instrumental Break]
See Andy Shauf LiveGet tickets as low as $50You might also like[Chorus]
Was all my love wasted on you?
Was all my lovе wasted on you?
Was all my love wasted on you?
Was all my love wasted on you?Embed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555319,Andy Shauf,Catch Your Eye,0,/songs/8555319,Catch Your Eye by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,8459032,complete,/Andy-shauf-catch-your-eye-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Catch Your Eye,https://genius.com/Andy-shauf-catch-your-eye-lyrics,"5 ContributorsCatch Your Eye Lyrics[Verse 1]
The situation's unclear I guess
I thought it'd happen through a friend of a friend
But it never did

[Chorus]
I need to meet you
I need to catch your eye

[Verse 2]
I thought I saw you in the grocery store
I followed you all the way to the door
But you never did turn

[Chorus]
I need to meet you
I need to catch your eye

[Verse 3]
Words under my breath
Float through the ceiling

[Chorus]
I need to meet you
I need to catch your eyeSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555320,Andy Shauf,Telephone,1,/songs/8555320,Telephone by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,1611245,complete,/Andy-shauf-telephone-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Telephone,https://genius.com/Andy-shauf-telephone-lyrics,"6 ContributorsTelephone Lyrics[Verse 1]
I wish you'd call me on the telephone
I want to hear your voice
Reaching late into the night
I would live on the telephone if I was
Listening to you talk about your day

[Chorus]
I nod my head, count the days gone by
Since I held onto your words

[Verse 2]
I used to call you on the telephone
I couldn't catch my breath
To expel a single word
You would hang up your telephone
You always looked confused
Then you'd turn and close the blinds

[Chorus]
I nod my head, count the days gone by
Since I held onto your words

[Outro]
Pick up your telephone
Pick up your telephoneSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555321,Andy Shauf,You Didn’t See,3,/songs/8555321,You Didn't See by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-you-didnt-see-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,You Didn't See,https://genius.com/Andy-shauf-you-didnt-see-lyrics,"8 ContributorsYou Didn’t See Lyrics[Verse]
It was a clear cool night
When he first began
Standing in the trees
Hiding his face behind the trunk
Shoulder peeking out
I covered it in leaves
Which might seem an odd thing to have done
But this man knew My love
Oh, this man had a grateful heart
So, on that clear cool night
When you squinted through the glass
At the moon caught in the leaves
You didn't see Norm
No, you didn't see Norm
Hmm
HmmSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555322,Andy Shauf,Paradise Cinema,1,/songs/8555322,Paradise Cinema by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-paradise-cinema-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Paradise Cinema,https://genius.com/Andy-shauf-paradise-cinema-lyrics,"5 ContributorsParadise Cinema Lyrics[Verse 1]
Seems like he's falling in love
With every bright smile he sees along the way
Watches you crossing the street
Paradise cinema one for the matinée

[Chorus]
And ready or not
You are his number one

[Verse 2]
One ticket ten minutes late
Three rows behind and the lights are still not down
He sees you turning around
Slides down his seat, tumbles to the ground

[Chorus]
And ready or not
You are his number one
Ready or not
You are his number oneSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555323,Andy Shauf,Norm,3,/songs/8555323,Norm by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-norm-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm,https://genius.com/Andy-shauf-norm-lyrics,"5 ContributorsNorm Lyrics[Verse 1]
Oh, boy Norm
Lays on his side
With heavy eyelids
And The Price Is Right
Breathes inward
And drifts on out
Losing the edges
Winning the prizes

[Chorus]
And when the television's silent
I speak into his dream
""Stop these wicked ways
And I will lead you to
The promised land""

[Verse 2]
Oh, boy Norm
On his side
Clutching the sofa
Eyes open wide
""Is someone in here?""
He asks out loud
Sits up straight
Turns the TV down
See Andy Shauf LiveGet tickets as low as $50You might also like[Chorus]
And looking all around him
He hears it once again
""Stop these wicked ways
And I will lead you to
The promised land""Embed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555324,Andy Shauf,Halloween Store,2,/songs/8555324,Halloween Store by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,10665984,complete,/Andy-shauf-halloween-store-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Halloween Store,https://genius.com/Andy-shauf-halloween-store-lyrics,"7 ContributorsHalloween Store Lyrics[Verse 1]
""Halloween is just around the corner""
I was thinking today
Sat around getting high all afternoon
Wondering what I should wear
Eventually, I picked myself up
Put on my shoes and walked out the door
I had one destination in mind
And that destination was the Halloween store

[Verse 2]
I started my car and as I did
I wondered if I’d locked the house
Walked back and found that I hadn't
But now my keys were in the car
Walked to the car, pulled the handle
And it snapped back, at least, I'd locked one door
Reached my hand through the open window
Pulled the lock, forgot about the house
And drove to the Halloween store

[Verse 3]
I pulled into the lot and parked
Next to a blue car like yours
Looked in my rearview mirror
Imagining meeting you in an aisle
I said ""Hi, I'm Norm, I think we've maybe met once before""
And as my fog cleared, I realized
That you were sitting in your car
Smiling at me at the Halloween storeSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555325,Andy Shauf,Sunset,4,/songs/8555325,Sunset by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-sunset-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Sunset,https://genius.com/Andy-shauf-sunset-lyrics,"6 ContributorsSunset Lyrics[Verse 1]
A light conversation
Floats between windows
Then makes its way through the aisles
So playful together
I knew it would be
It feels like I know you so well

[Chorus]
Oh, my
Never want to leave your side
This isn't the end

[Verse 2]
Receipts and plastic bags
Where did your car go?
You don't seem to be surprised
I offer you a ride
And you don't think twice
About climbing on in

[Chorus]
Oh, my
Never want to leave your side
This isn't the end
See Andy Shauf LiveGet tickets as low as $50You might also like[Post-Chorus]
""Are we leaving the city?""

[Instrumental Break]

[Verse 3]
We're leaving the city
Where did your phone go?
You get quiet, you are scared
Just watching the sunset
And I'm letting you know
Just how long I've loved you for

[Chorus]
Oh, my
Never want to leave your side
This isn't the end
Oh, my
Never want to leave your side
This isn't the end
Oh, my
Never want to leave your sideEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555326,Andy Shauf,Daylight Dreaming,5,/songs/8555326,Daylight Dreaming by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-daylight-dreaming-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Daylight Dreaming,https://genius.com/Andy-shauf-daylight-dreaming-lyrics,"5 ContributorsDaylight Dreaming Lyrics[Verse 1]
I saw your blue car
I was hardly working
Mostly daylight dreaming
Made me think about that time
When I towed your car just out of view
Then watched you confused
When you came out of the store
And oh, that big laugh
Oh, I know I need to leave you alone
But I can almost hear that laugh

[Refrain]
So send strength to me God Almighty

[Verse 2]
But then I'm hitching up your car
My eye on the door
Hoping you don't walk out before
I'm around the corner
And it all goes to plan
But when you come out
You are not alone

[Refrain]
Oh, send strength to me God Almighty
See Andy Shauf LiveGet tickets as low as $50You might also like[Verse 3]
You looked in my eye
As you placed your bags
In his trunk and lеft
And now I'm alone
With no big laugh
Where did you go?
All my daylight drеaming
Can't get you on the phone

[Outro]
So send strength to me God Almighty
Oh, send strength to me God Almighty
So send strength to me God AlmightyEmbed"
Andy Shauf,380491,Andy Shauf,/albums/970409,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Norm by Andy Shauf,970409,Norm,"February 10, 2023",https://genius.com/albums/Andy-shauf/Norm,8555327,Andy Shauf,Long Throw,4,/songs/8555327,Long Throw by Andy Shauf,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,9771511,complete,/Andy-shauf-long-throw-lyrics,,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.300x300x1.jpg,https://images.genius.com/d9c3252d61752a15ca631091d25c1288.1000x1000x1.jpg,Long Throw,https://genius.com/Andy-shauf-long-throw-lyrics,"5 ContributorsLong Throw Lyrics[Verse 1]
No invitation from you
Only one in a costume
Isn't that just how things work out
On our best days

[Chorus]
In the palm of my hand
Thinking you could be watching
Leaning back for the long throw
Wondering when you would arrive

[Verse 2]
The way that you knew
Just what I meant
Leaning into the big laugh
On our best days

[Chorus]
And in the palm of my hand
Thinking you should be calling
Checking over and over
Wondering when you would arrive
Wondering why you never arrivedSee Andy Shauf LiveGet tickets as low as $50You might also likeEmbed"
