search_name,artist_id,artist_name,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url,song_id,song_artist_names,song_title,song_annotation_count,song_api_path,song_full_title,song_header_image_thumbnail_url,song_header_image_url,song_lyrics_owner_id,song_lyrics_state,song_path,song_pyongs_count,song_song_art_image_thumbnail_url,song_song_art_image_url,song_title_with_featured,song_url,lyrics
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,833299,Elton John,Step Into Christmas,1,/songs/833299,Step Into Christmas by Elton John,https://images.genius.com/e55d93efb8f218727ac7239b08e34a86.300x300x1.jpg,https://images.genius.com/e55d93efb8f218727ac7239b08e34a86.1000x1000x1.jpg,5055477,complete,/Elton-john-step-into-christmas-lyrics,,https://images.genius.com/d129d313d5fa4d19bec651b59aaf753a.300x301x1.jpg,https://images.genius.com/d129d313d5fa4d19bec651b59aaf753a.315x316x1.jpg,Step Into Christmas,https://genius.com/Elton-john-step-into-christmas-lyrics,"25 ContributorsStep Into Christmas Lyrics[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free

[Verse 2]
Take care in all you do next year
And keep smilin' through the days
If we can help to entertain you
Oh, we will find the ways

[Pre-Chorus]
So merry Christmas, one and all
There's no place I'd rather be
Than askin' you if you'd oblige
Steppin' into Christmas with me
You might also like[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh

[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free
[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh

[Outro]
(Step, step into Christmas)
(Ah, forever and ever)
(Yeah, come along with me)
(Ah) Oh
(Step, step into Christmas)
(Ah, forever and ever)
(Yeah, come along with me)
(Ah)Embed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,832813,Elton John,Ho! Ho! Ho! (Who’d Be a Turkey at Christmas),1,/songs/832813,Ho! Ho! Ho! (Who'd Be a Turkey at Christmas) by Elton John,https://images.genius.com/f61047d676d26963710c7e20c66554a4.300x300x1.jpg,https://images.genius.com/f61047d676d26963710c7e20c66554a4.500x500x1.jpg,1549345,complete,/Elton-john-ho-ho-ho-whod-be-a-turkey-at-christmas-lyrics,,https://images.genius.com/f61047d676d26963710c7e20c66554a4.300x300x1.jpg,https://images.genius.com/f61047d676d26963710c7e20c66554a4.500x500x1.jpg,Ho! Ho! Ho! (Who'd Be a Turkey at Christmas),https://genius.com/Elton-john-ho-ho-ho-whod-be-a-turkey-at-christmas-lyrics,"6 ContributorsHo! Ho! Ho! (Who’d Be a Turkey at Christmas) LyricsSitting here on Christmas Eve with a brandy in my hand
Oh I've had a few too many and it's getting hard to stand
I keep hearing noises from my fireplace
I must be going crazy or the brandy's won the race

And I keep hearing ho ho ho, guess who's here
Your fat and jolly friend draws near
Ho ho ho, surprise, surprise
The bearded weirdy's just arrived

Ho ho ho, guess who's here
Your fat and jolly friend draws near
Ho ho ho, surprise surprise
The bearded wierdy's just arrived

On my roof there's snorting sounds, and bells inside my head
My vision's blurred with colour, and all he sees is red
There's a pair of large sized wellies coming down my flue
And the smell of burning rubber, oh is filling up the roomYou might also likeEmbed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,390463,Elton John,All Quiet on the Western Front,1,/songs/390463,All Quiet on the Western Front by Elton John,https://images.genius.com/376c501eea62ecf00e4ce48a8f249cad.300x300x1.jpg,https://images.genius.com/376c501eea62ecf00e4ce48a8f249cad.1000x1000x1.jpg,397025,complete,/Elton-john-all-quiet-on-the-western-front-lyrics,,https://images.genius.com/376c501eea62ecf00e4ce48a8f249cad.300x300x1.jpg,https://images.genius.com/376c501eea62ecf00e4ce48a8f249cad.1000x1000x1.jpg,All Quiet on the Western Front,https://genius.com/Elton-john-all-quiet-on-the-western-front-lyrics,"5 ContributorsAll Quiet on the Western Front Lyrics[Verse 1]
All quiet on the Western Front, nobody saw
A youth asleep in the foreign soil, planted by the war
Feel the pulse of human blood pouring forth
See the stems of Europe bend under force

[Chorus]
All quiet
All quiet
All quiet on the Western Front

[Verse 2]
So tired of this garden's grief, nobody cares
Old kin kiss the small white cross, their only souvenir
See the Prussian offense fly, weren't we grand
To place the feel of cold sharp steel in their hands

[Chorus]
All quiet
All quiet
All quiet on the Western Front

[Verse 3]
It's gone all quiet on the Western Front, male angels sigh
Ghosts float in a flooded trench as Germany dies
Fever reaps the flowers of France, fair-haired boys
String the harps to Victory's voice, joyous noise
You might also like[Chorus]
All quiet
All quiet
All quiet on the Western Front

All quiet
All quiet
All quiet on the Western FrontEmbed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,390394,Elton John,Cold as Christmas (in the Middle of the Year),0,/songs/390394,Cold as Christmas (in the Middle of the Year) by Elton John,https://images.genius.com/b79d79122178c142e4d83be60180cd28.300x300x1.jpg,https://images.genius.com/b79d79122178c142e4d83be60180cd28.1000x1000x1.jpg,397025,complete,/Elton-john-cold-as-christmas-in-the-middle-of-the-year-lyrics,,https://images.genius.com/b79d79122178c142e4d83be60180cd28.300x300x1.jpg,https://images.genius.com/b79d79122178c142e4d83be60180cd28.1000x1000x1.jpg,Cold as Christmas (in the Middle of the Year),https://genius.com/Elton-john-cold-as-christmas-in-the-middle-of-the-year-lyrics,"9 ContributorsCold as Christmas (in the Middle of the Year) Lyrics[Verse 1]
We still sit at separate tables
And we sleep at different times
And the warm wind in the palm trees
Hasn't helped to change our minds
It was the lure of the tropics
That I thought might heal the scars
Of a love burned out by silence
In a marriage minus heart

[Pre-Chorus]
And I call the kids on the telephone
Say there's something wrong out here
It's July but it's cold as Christmas
In the middle of the year

[Chorus 1]
The temperature's up to ninety five
But there's a winter look in your mother's eyes
And to melt the tears there's a heat wave here
So how come it's cold as Christmas in the middle of the year?

[Verse 2]
I dreamed of love in a better climate
And for what it's really worth
I put faith in the star we followed
To this Caribbean surf
But there's an icy fringe on everything
And I cannot find the lines
Where's the beauty in the beast we made
Why the frost in the summertime
You might also like[Pre-Chorus]
And I call the kids on the telephone
Say there's something wrong out here
It's July but it's cold as Christmas
In the middle of the year

[Chorus 2]
The temperature's up to ninety five
But there's a winter look in your mother's eyes
And to melt the tears there's a heat wave here
So how come it's cold as Christmas in the middle of the year?

[Chorus 1]
The temperature's up to ninety five
But there's a winter look in your mother's eyes
And to melt the tears there's a heat wave here
So how come it's cold as Christmas in the middle of the year?

[Hook]
(Ooh!)

[Ad-libs until fade-out]
Cold as christmas in the middle of the year
Cold as christmas in the middle of the year
Cold as christmas in the middle of the year
Cold as christmas in the middle of the year
Cold as christmas!
(Cold as christmas in the middle of the year)
Cold as christmas in the middle of the yearEmbed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,1823196,Joss Stone & Elton John,Calling It Christmas (Radio Edit),1,/songs/1823196,Calling It Christmas (Radio Edit) by Joss Stone & Elton John,https://images.genius.com/c92792b1875104782a480458ded63e6f.300x300x1.png,https://images.genius.com/c92792b1875104782a480458ded63e6f.1000x1000x1.png,3524332,complete,/Joss-stone-and-elton-john-calling-it-christmas-radio-edit-lyrics,,https://images.genius.com/c92792b1875104782a480458ded63e6f.300x300x1.png,https://images.genius.com/c92792b1875104782a480458ded63e6f.1000x1000x1.png,Calling It Christmas (Radio Edit),https://genius.com/Joss-stone-and-elton-john-calling-it-christmas-radio-edit-lyrics,"6 ContributorsCalling It Christmas (Radio Edit) Lyrics[Verse 1: Elton John]
On a hill long ago, on a cold winter's night
In a land far away, three kings saw a light
And from Heaven, it shone like God's, God's own crown
And it guided three kings into Bethlehem town

[Verse 2: Joss Stone]
Oh, they came bearing gifts and so said each one
""Let's call this day Christmas from this moment on""
""We'll be calling it Christmas in, in honour of Him""
""The Child in the manger, our Savior and King"", oh

[Chorus: Elton John, Joss Stone, Both]
We've been calling it Christmas
Keeping the faith
Knowing the reason
We, we're saving the day
We've been calling it, we've been calling it Christmas (Oh)
Down through the years (Down through the years, baby)
Spreading joy to the world
When Christmas is here, is here

[Verse 3: Elton John, Joss Stone]
Oh, a simple belief was the start of it all
A small child asleep on a bed made of straw
At the back of an inn where, where shepherds and kings
First felt the joy that this moment would bring
You might also like[Chorus: Joss Stone, Elton John, Both]
We've been calling it, we've been calling it Christmas
Keeping the faith
Knowing the reason
We're saving the day
We've been calling it, we've been calling it Christmas
Down through the years (Down through the years, baby)
Spreading joy to the world
When Christmas, when Christmas is here, is here
We've been calling it Christmas, baby
Down through the years (Down through, down through the years)
Spreading joy to the world
When Christmas is here (Ooh, yeah)
Spreading joy to the world
When Christmas is here, Christmas is here, oh, yeah
Spreading joy to the world
When Christmas, ooh, is here, is hereEmbed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,9707950,Elton John,Step Into Christmas (1973 Gilbert O’Sullivan Show Version),0,/songs/9707950,Step Into Christmas (1973 Gilbert O'Sullivan Show Version) by Elton John,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.300x300x1.jpg,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,3499648,complete,/Elton-john-step-into-christmas-1973-gilbert-osullivan-show-version-lyrics,,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.300x300x1.jpg,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas (1973 Gilbert O'Sullivan Show Version),https://genius.com/Elton-john-step-into-christmas-1973-gilbert-osullivan-show-version-lyrics,"1 ContributorStep Into Christmas (1973 Gilbert O’Sullivan Show Version) Lyrics[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free

[Verse 2]
Take care in all you do next year
And keep smilin' through the days
If we can help to еntertain you
Oh, we will find the ways

[Pre-Chorus]
So mеrry Christmas, one and all
There's no place I'd rather be
Than askin' you if you'd oblige
Steppin' into Christmas with me
You might also like[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh
La la la, oh, la

[Verse 1]
Welcome to my Christmas song
I'd like to thank you for the year
So I'm sendin' you this Christmas card
To say, ""It's nice to have you here""

[Pre-Chorus]
I'd like to sing about all the things
Your eyes and mind can see
So hop aboard the turntable
Oh, step into Christmas with me, yeah

[Chorus]
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free
Step into Christmas, let's join together
We can watch the snow fall forever and ever
Eat, drink and be merry, come along with me
Step into Christmas, the admission's free, oh
[Outro]
(Step, step into Christmas)
(Ah, forever and ever)
(Yeah, come along with me)
(Ah) Oh
(Step, step into Christmas)
(Ah, forever and ever)Embed"
Elton John,560,Elton John,/albums/1103962,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Step Into Christmas by Elton John,1103962,Step Into Christmas,"November 6, 2023",https://genius.com/albums/Elton-john/Step-into-christmas,9707951,Elton John,Rudolph The Red Nosed Reindeer (Live At Hammersmith Odeaon / 1973),0,/songs/9707951,Rudolph The Red Nosed Reindeer (Live At Hammersmith Odeaon / 1973) by Elton John,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.300x300x1.jpg,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,3499648,complete,/Elton-john-rudolph-the-red-nosed-reindeer-live-at-hammersmith-odeaon-1973-lyrics,,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.300x300x1.jpg,https://images.genius.com/2e40bdb071fb61c6a2be16ab00cea73c.1000x1000x1.jpg,Rudolph The Red Nosed Reindeer (Live At Hammersmith Odeaon / 1973),https://genius.com/Elton-john-rudolph-the-red-nosed-reindeer-live-at-hammersmith-odeaon-1973-lyrics,"1 ContributorRudolph The Red Nosed Reindeer (Live At Hammersmith Odeaon / 1973) Lyrics[Intro]
If you'd prefer, we can play ""Rudolph The Red Nosed Reindeer"". Do you like? You don't think I'd dare, do ya? Ah, yeah

[Instrumental]

[Outro]
Woo
Thank you
I'm available for weddings, Christmas parties. Everything. Ten pounds an hour. Here we goYou might also likeEmbed"
Elton John,560,Elton John,/albums/1005762,https://assets.genius.com/images/default_cover_art.png?1715197437,Honky Château (50th Anniversary Edition) by Elton John,1005762,Honky Château (50th Anniversary Edition),"March 24, 2023",https://genius.com/albums/Elton-john/Honky-chateau-50th-anniversary-edition,8861494,Elton John,Susie (Dramas) [Remastered 2017],0,/songs/8861494,Susie (Dramas) [Remastered 2017] by Elton John,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,54639,unreleased,/Elton-john-susie-dramas-remastered-2017-lyrics,,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,Susie (Dramas) [Remastered 2017],https://genius.com/Elton-john-susie-dramas-remastered-2017-lyrics,1 ContributorLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Elton John,560,Elton John,/albums/1005762,https://assets.genius.com/images/default_cover_art.png?1715197437,Honky Château (50th Anniversary Edition) by Elton John,1005762,Honky Château (50th Anniversary Edition),"March 24, 2023",https://genius.com/albums/Elton-john/Honky-chateau-50th-anniversary-edition,8861493,Elton John,Salvation (Remastered 2017),0,/songs/8861493,Salvation (Remastered 2017) by Elton John,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,54639,unreleased,/Elton-john-salvation-remastered-2017-lyrics,,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,Salvation (Remastered 2017),https://genius.com/Elton-john-salvation-remastered-2017-lyrics,1 ContributorLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Elton John,560,Elton John,/albums/1005762,https://assets.genius.com/images/default_cover_art.png?1715197437,Honky Château (50th Anniversary Edition) by Elton John,1005762,Honky Château (50th Anniversary Edition),"March 24, 2023",https://genius.com/albums/Elton-john/Honky-chateau-50th-anniversary-edition,8861491,Elton John,Slave (Remastered 2017),0,/songs/8861491,Slave (Remastered 2017) by Elton John,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,54639,unreleased,/Elton-john-slave-remastered-2017-lyrics,,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.300x300x1.jpg,https://images.genius.com/08208ed49e1c3f811ae93f1c4f8bceb5.395x395x1.jpg,Slave (Remastered 2017),https://genius.com/Elton-john-slave-remastered-2017-lyrics,1 ContributorLyrics for this song have yet to be released. Please check back once the song has been released.Embed
