search_name,artist_id,artist_name,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url,song_id,song_artist_names,song_title,song_annotation_count,song_api_path,song_full_title,song_header_image_thumbnail_url,song_header_image_url,song_lyrics_owner_id,song_lyrics_state,song_path,song_pyongs_count,song_song_art_image_thumbnail_url,song_song_art_image_url,song_title_with_featured,song_url,lyrics
One Direction,19657,One Direction,/albums/659868,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Acoustic - EP by One Direction,659868,Acoustic - EP,"July 23, 2020",https://genius.com/albums/One-direction/Acoustic-ep,2114901,One Direction,One Thing (Acoustic),0,/songs/2114901,One Thing (Acoustic) by One Direction,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,5308242,complete,/One-direction-one-thing-acoustic-lyrics,,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,One Thing (Acoustic),https://genius.com/One-direction-one-thing-acoustic-lyrics,"7 ContributorsOne Thing (Acoustic) Lyrics[Verse 1: Liam & Harry]
I've tried playing it cool
But when I'm looking at you
I can't ever be brave
'Cause you make my heart race
Shot me out of the sky
You're my kryptonite
You keep making me weak
Yeah, frozen, and can't breathe

[Pre-Chorus: Zayn with Liam]
Something's gotta give now
'Cause I'm dying just to make you see
That I need you here with me now
'Cause you've got that one thing

[Chorus: All]
So get out, get out, get out of my head
And fall into my arms instead
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thing

[Verse 2: Niall with Zayn]
Now I'm climbing the walls
But you don't notice at all
That I'm going out of my mind
All day and all night
You might also like[Pre-Chorus: Louis with Zayn]
Something's gotta give now
'Cause I'm dying just to know your name
And I need you here with me now
'Cause you've got that one thing

[Chorus: All & Harry]
So get out, get out, get out of my head
And fall into my arms instead
I don't, I don't, don't know what it is
But I need that one thing
So get out, get out, get out of my mind
And come on, come into my life
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thing (Woah, woah, woah)
You've got that one thing

[Bridge: Liam]
Get out, get out, get out of my head
And fall into my arms instead

[Chorus: All, Zayn & Harry]
So get out, get out, get out of my head (Get out, get out, get out of my head, yeah)
And fall into my arms instead (Instead)
I don't, I don't, don't know what it is
But I need that one thing (I need that one thing)
So get out, get out, get out of my mind (Out of my mind)
And come on, come into my life
I don't, I don't, don't know what it is
But I need that one thing
And you've got that one thingEmbed"
One Direction,19657,One Direction,/albums/659868,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Acoustic - EP by One Direction,659868,Acoustic - EP,"July 23, 2020",https://genius.com/albums/One-direction/Acoustic-ep,5793405,One Direction,Steal My Girl (Acoustic Version),0,/songs/5793405,Steal My Girl (Acoustic Version) by One Direction,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,13273252,complete,/One-direction-steal-my-girl-acoustic-version-lyrics,,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Steal My Girl (Acoustic Version),https://genius.com/One-direction-steal-my-girl-acoustic-version-lyrics,"7 ContributorsSteal My Girl (Acoustic Version) Lyrics[Verse 1: Zayn]
She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love,"" her dad calls me ""Son""
Alright, alright

[Pre-Chorus: Niall]
I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one ’cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
You might also like[Verse 2: Liam, Louis & Liam]
Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don’t exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright

[Pre-Chorus: Niall]
But I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na
[Bridge: Harry]
She knows, she knows
That I never let her down before
Oh, she knows, she knows
That I'm never gonna let another take her love from me now

[Chorus: All, Zayn]
Everybody wanna steal my girl (Wants to steal my girl)
Everybody wanna take her heart away (Wants to take her love away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one ’cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one ’cause she belongs to me (Oh, yeah)

[Post-Chorus: All, Niall, Zayn]
Na-na-na-na-na-na-na (Oh, yeah, alright, yeah)
Na-na-na-na-na-na-na (Alright, yeah)
Na-na-na-na-na-na-na, na-na
She belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah, oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to meEmbed"
One Direction,19657,One Direction,/albums/659868,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Acoustic - EP by One Direction,659868,Acoustic - EP,"July 23, 2020",https://genius.com/albums/One-direction/Acoustic-ep,2097622,One Direction,Steal My Girl (Live Acoustic Session),1,/songs/2097622,Steal My Girl (Live Acoustic Session) by One Direction,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,13273252,complete,/One-direction-steal-my-girl-live-acoustic-session-lyrics,,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Steal My Girl (Live Acoustic Session),https://genius.com/One-direction-steal-my-girl-live-acoustic-session-lyrics,"6 ContributorsSteal My Girl (Live Acoustic Session) Lyrics[Verse 1: Zayn]
She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love,"" her dad calls me ""Son""
Alright, alright

[Pre-Chorus: Niall]
I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam, Harry]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
You might also like[Verse 2: Liam, Louis & Liam, Louis]
Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright

[Pre-Chorus: Niall]
But I know, I know, I know for sure

[Chorus: All]
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Liam]
Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na
[Bridge: Harry]
She knows, she knows
That I never let her down before
Oh, she knows, she knows
That I'm never gonna let another take her love from me now

[Chorus: All, Zayn]
Everybody wanna steal my girl
Everybody wanna take her heart away (Wants to take her love away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one 'cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

[Post-Chorus: All, Niall, Zayn, Harry]
Na-na-na-na-na-na-na (Oh, yeah, ooh, yeah)
Na-na-na-na-na-na-na (Alright, alright)
Na-na-na-na-na-na-na, na-na
'Cause she belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah, oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to meEmbed"
One Direction,19657,One Direction,/albums/659868,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Acoustic - EP by One Direction,659868,Acoustic - EP,"July 23, 2020",https://genius.com/albums/One-direction/Acoustic-ep,2078111,One Direction,Night Changes (Live Acoustic Session),0,/songs/2078111,Night Changes (Live Acoustic Session) by One Direction,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,13273252,complete,/One-direction-night-changes-live-acoustic-session-lyrics,,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Night Changes (Live Acoustic Session),https://genius.com/One-direction-night-changes-live-acoustic-session-lyrics,"5 ContributorsNight Changes (Live Acoustic Session) Lyrics[Verse 1: Zayn  & Liam]
Going out tonight, changes into something red
Her mother doesn't like that kind of dress
Everything she never had, she's showing off
Driving too fast, moon is breaking through her hair
She's heading for something that she won't forget
Having no regrets is all that she really wants

[Chorus: Harry]
We're only getting older, baby
And I've been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes?
Everything that you've ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes, it will never change me and you

[Verse 2: Louis & Niall]
Chasing her tonight, doubts are running 'round her head
He's waiting, hides behind a cigarette
Heart is beating loud and she doesn't want it to stop
Moving too fast, moon is lighting up her skin
She's falling, doesn't even know it yet
Having no regrets is all that she really wants
[Chorus: All, Harry, Liam]
We're only getting older, baby
And I've been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes?
Everything that you've ever dreamed of
Is disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes
It will never change me and you
Ooh

[Bridge: Zayn]
Going out tonight, changes into something red, her mother doesn't like that kind of dress
Reminds her of the missing piece of innocence she lost

[Chorus: All, Harry]
We're only getting older, baby
And I've been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes?
Everything that you've ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes
It will never change, baby
It will never change, baby
It will never change, me and youYou might also likeEmbed"
One Direction,19657,One Direction,/albums/659868,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Acoustic - EP by One Direction,659868,Acoustic - EP,"July 23, 2020",https://genius.com/albums/One-direction/Acoustic-ep,5793406,One Direction,Perfect (Stripped),0,/songs/5793406,Perfect (Stripped) by One Direction,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,3499648,complete,/One-direction-perfect-stripped-lyrics,,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.300x300x1.png,https://images.genius.com/9dda78646499a3aa58fc271e3aa63e16.1000x1000x1.png,Perfect (Stripped),https://genius.com/One-direction-perfect-stripped-lyrics,"5 ContributorsPerfect (Stripped) Lyrics[Verse 1: Louis]
I might never be your knight in shining armor
I might never be the one you take home to mother
And I might never be the one who brings you flowers
But I can be the one, be the one tonight

[Pre-Chorus: Liam]
When I first saw you from across the room
I could tell that you were curious, oh yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry, All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Verse 2: Niall]
I might never be the hands you put your heart in
Or the arms that hold you any time you want them
But that don't mean that we can't live here in the moment
'Cause I can be the one you love from time to time
You might also like[Pre-Chorus: Liam]
When I first saw you, from across the room
I could tell that you were curious, oh yeah
Girl, I hope you're sure what you're looking for
'Cause I'm not good at making promises

[Chorus: Harry, All]
But if you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right now

[Bridge: Harry]
And if you like cameras flashing every time we go out, oh, yeah
If you're looking for someone to write your breakup songs about
Baby, I'm perfect
Baby, we're perfect

[Chorus: Harry, All]
If you like causing trouble up in hotel rooms
And if you like having secret little rendezvous
If you like to do the things you know that we shouldn't do
Then, baby, I'm perfect
Baby, I'm perfect for you
And if you like midnight driving with the windows down
And if you like going places we can't even pronounce
If you like to do whatever you've been dreaming about
Then, baby, you're perfect
Baby, you're perfect
So let's start right nowEmbed"
One Direction,19657,One Direction,/albums/659874,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Remixes - EP by One Direction,659874,Remixes - EP,"July 23, 2020",https://genius.com/albums/One-direction/Remixes-ep,3760592,One Direction,Gotta Be You (Steve Smart & Westfunk Remix),1,/songs/3760592,Gotta Be You (Steve Smart & Westfunk Remix) by One Direction,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.300x300x1.png,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.1000x1000x1.png,2425773,complete,/One-direction-gotta-be-you-steve-smart-and-westfunk-remix-lyrics,,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.300x300x1.png,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.1000x1000x1.png,Gotta Be You (Steve Smart & Westfunk Remix),https://genius.com/One-direction-gotta-be-you-steve-smart-and-westfunk-remix-lyrics,"7 ContributorsGotta Be You (Steve Smart & Westfunk Remix) Lyrics[Intro: Zayn]
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better

[Verse 1: Liam]
Girl, I see it in your eyes you're disappointed
'Cause I'm the foolish one that you anointed with your heart
I tore it apart
And, girl, what a mess I made upon your innocence
And no woman in the world deserves this
But here I am asking you for one more chance

[Pre-Chorus: Harry]
Can we fall, one more time?
Stop the tape and rewind
Oh, and if you walk away I know I'll fade
'Cause there is nobody else

[Chorus: Harry & All]
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey, hey, hey)
Hey
You might also like[Verse 2: Liam]
Now, girl, I hear it in your voice and how it trembles
When you speak to me I don't resemble, who I was, you've almost had enough
And your actions speak louder than words
And you're about to break from all you've heard, but don't be scared, I ain't going no where

[Pre-Chorus: Zayn]
I'll be here (Here), by your side (Side)
No more fears (No more fears), no more crying (No more crying)
But if you walk away, I know I'll fade
'Cause there is nobody else

[Chorus: Harry, All & Zayn]
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey, hey, hey)
Oh, girl
Can we try?

[Bridge: Zayn & All]
Can we try one more, one more time?
One more, one more, can we try? One more, one more time, I'll make it better
One more, one more, can we try? One more, one more
Can we try one more time to make it all better?
Can we try one more, one more, can we try? One more, one more
Can we try one more, one more, can we try? One more, one more
Can we try one more, one more, can we try? One more, one more
Can we try one more time to make it all better?
[Chorus: Harry & All]
'Cause it's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey)
'Cause it's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), only you (Hey, hey, hey, hey, hey, hey, hey, hey)
It's gotta be you (Hey, hey, hey, hey, hey, hey, hey, hey), oh, only you (Hey, hey, hey, hey, hey, hey, hey, hey)

[Outro: Zayn]
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all better
One more time to make it all betterEmbed"
One Direction,19657,One Direction,/albums/659874,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Remixes - EP by One Direction,659874,Remixes - EP,"July 23, 2020",https://genius.com/albums/One-direction/Remixes-ep,2013684,One Direction,Gotta Be You (Mojam Remix),1,/songs/2013684,Gotta Be You (Mojam Remix) by One Direction,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.300x300x1.png,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.1000x1000x1.png,2425773,complete,/One-direction-gotta-be-you-mojam-remix-lyrics,,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.300x300x1.png,https://images.genius.com/c60c42e5f5d7b7ad89d812546250136e.1000x1000x1.png,Gotta Be You (Mojam Remix),https://genius.com/One-direction-gotta-be-you-mojam-remix-lyrics,"7 ContributorsGotta Be You (Mojam Remix) Lyrics[Verse 1: Liam]
Girl, I see it in your eyes you're disappointed
'Cause I'm the foolish one that anointed wih your heart
I tore it apart
And, girl, what a mess I made upon your innocence
And no woman in the world deserves this
But here I am asking you for one more chance

[Pre-Chorus: Harry]
Can we fall, one more time?
Stop the tape and rewind
Oh, and if you walk away I know I'll fade
'Cause there is nobody else

[Chorus: Harry]
It's gotta be you, only you
It's gotta be you, only you
It's gotta be you, only you

[Verse 2: Liam]
Now, girl, I hear it in your voice and how it trembles
When you speak to me I don't resemble, who I was
You've almost had enough
And your actions speak louder than words
And you're about to break from all you've heard
But, don't be scared, I ain't going nowhere
You might also like[Pre-Chorus: Zayn]
I'll be here, by your side
No more fears, no more crying
But if you walk away, I know I'll fade
'Cause there is nobody else

[Chorus: Harry & All]
It's gotta be you, only you
It's gotta be you, oh, only you
It's gotta be you, only you
It's gotta be you, only you
It's gotta be you, only you
It's gotta be you, oh, only you
It's gotta be you, only you
It's gotta be you, oh, only you
It's gotta be you, only you
It's gotta be you, oh, only youEmbed"
One Direction,19657,One Direction,/albums/659874,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Remixes - EP by One Direction,659874,Remixes - EP,"July 23, 2020",https://genius.com/albums/One-direction/Remixes-ep,1798617,One Direction,Live While We’re Young (Dave Audé Remix),1,/songs/1798617,Live While We're Young (Dave Audé Remix) by One Direction,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.300x300x1.png,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.1000x1000x1.png,2425773,complete,/One-direction-live-while-were-young-dave-aude-remix-lyrics,1.0,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.300x300x1.png,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.1000x1000x1.png,Live While We're Young (Dave Audé Remix),https://genius.com/One-direction-live-while-were-young-dave-aude-remix-lyrics,"12 ContributorsLive While We’re Young (Dave Audé Remix) Lyrics[Intro: All]
Oh-oh, oh, oh, oh
Oh-oh, oh, oh, oh

[Verse 1: Liam]
Hey, girl, I'm waitin' on ya, I'm waitin' on ya
Come on and let me sneak you out
And have a celebration, a celebration
The music up, the windows down

[Pre-Chorus: Zayn]
Yeah, we'll be doing what we do
Just pretending that we're cool and we know it, too
Yeah, we'll keep doing what we do
Just pretending that we're cool, so tonight

[Chorus: All, Harry]
Let's go crazy, crazy, crazy till we see the Sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some and live while we're young

[Post-Chorus: Zayn, All, Harry]
And live while we're young
Tonight, let's get someand live while we're young
You might also like[Verse 2: Zayn & Niall, Zayn]
Hey girl, it's now or never, it's now or never
Don't overthink, just let it go
And if we get together, yeah, get together
Don't let the pictures leave your phone, oh-oh-oh

[Pre-Chorus: Niall & All]
Yeah, we'll be doing what we do
Just pretending that we're cool, so tonight (Let's go)
Yeah, we'll be doing what we do
Just pretending that we're cool, so tonight

[Chorus: All, Zayn, Harry]
Let's go crazy, crazy, crazy till we see the Sun (Till we see the Sun)
I know we only met, but let's pretend it's love
And never, never, never stop for anyone (Anyone)
Tonight, let's get some and live while we're young (Young)
Crazy, crazy, crazy till we see the Sun
I know we only met, but let's pretend it's love (Let's pretend it's love)
And never, never, never stop for anyone
Tonight, let's get some (Let's get some) and live while we're young

[Outro: All, Zayn, Harry]
Wanna live, wanna live, wanna live while we're young (C'mon; Young)
Wanna live, wanna live, wanna live while we're young (Wanna live while we're young)
Wanna live, wanna live, wanna live while we're young
Tonight, let's get some and live while we're young
[Outro: All]
Let's go
Let's go
Let's go
Let's go1Embed"
One Direction,19657,One Direction,/albums/659874,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Remixes - EP by One Direction,659874,Remixes - EP,"July 23, 2020",https://genius.com/albums/One-direction/Remixes-ep,2180361,One Direction,Live While We’re Young (The Jump Smokers Remix),1,/songs/2180361,Live While We’re Young (The Jump Smokers Remix) by One Direction,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.300x300x1.png,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.1000x1000x1.png,2425773,complete,/One-direction-live-while-were-young-the-jump-smokers-remix-lyrics,,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.300x300x1.png,https://images.genius.com/68103414b4d6956f5fbbe6579b26d2ac.1000x1000x1.png,Live While We’re Young (The Jump Smokers Remix),https://genius.com/One-direction-live-while-were-young-the-jump-smokers-remix-lyrics,"5 ContributorsLive While We’re Young (The Jump Smokers Remix) Lyrics[Verse 1: Liam]
Hey, girl, I'm waitin' on ya, I'm waitin' on ya
Come on and let me sneak you out
And have a celebration, a celebration
The music up, the windows down

[Pre-Chorus: Zayn]
Yeah, we'll be doing what we do
Just pretending that we're cool and we know it, too
Yeah, we'll keep doing what we do
Just pretending that we're cool, so tonight

[Chorus: All, Harry]
Let's go crazy, crazy, crazy till we see the Sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some and live while we're young

[Post-Chorus: All, Zayn, Harry]
Oh-oh, oh, oh, oh
Oh-oh, oh, oh, oh
And live while we're young
Oh-oh, oh, oh, oh
Tonight, let's get some and live while we're young

[Interlude: Harry]
Young, young, young, young
Jump Smokers
Let's go crazy, crazy, crazy, crazy, crazy, crazy, crazy, crazy
Let's go crazy
Let's go
Crazy
Let's go
Let's go
Crazy
You might also like[Verse 2: Zayn & Niall, Zayn]
Hey girl, it's now or never, it's now or never
Don't overthink, just let it go
And if we get together, yeah, get together
Don't let the pictures leave your phone, oh-oh-oh

[Pre-Chorus: Zayn & Niall]
Yeah, we'll be doing what we do
Just pretending that we're cool and we know it, too
Yeah, we'll be doing what we do
Just pretending that we're cool, so tonight

[Chorus: All, Harry]
Let's go crazy, crazy, crazy till we see the Sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some and live while we're young

[Post-Chorus: All, Harry]
Oh-oh, oh, oh, oh
Oh-oh, oh, oh, oh
Wanna live while we're young
Oh-oh, oh, oh, oh
Tonight, let's get some and live while we're young

[Interlude: Harry]
Young, young, young, young
Jump Smokers
Let's go crazy, crazy, crazy, crazy, crazy, crazy, crazy, crazy
Let's go crazy
Let's
Crazy
Let's go
Let's
Crazy
[Chorus: All, Zayn, Harry]
Let's go crazy, crazy, crazy till we see the Sun (Till we see the Sun)
I know we only met, but let's pretend it's love
And never, never, never stop for anyone (Anyone)
Tonight, let's get some and live while we're young (Young)
Crazy, crazy, crazy till we see the Sun
I know we only met, but let's pretend it's love
And never, never, never stop for anyone
Tonight, let's get some (Let's get some) and live while we're youngEmbed"
One Direction,19657,One Direction,/albums/659874,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Remixes - EP by One Direction,659874,Remixes - EP,"July 23, 2020",https://genius.com/albums/One-direction/Remixes-ep,1812590,One Direction,Kiss You (Sharoque Remix),1,/songs/1812590,Kiss You (Sharoque Remix) by One Direction,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.300x300x1.png,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,5308242,complete,/One-direction-kiss-you-sharoque-remix-lyrics,,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.300x300x1.png,https://images.genius.com/d49c81d2004e766d5e378fd6b4301790.1000x1000x1.png,Kiss You (Sharoque Remix),https://genius.com/One-direction-kiss-you-sharoque-remix-lyrics,"7 ContributorsKiss You (Sharoque Remix) Lyrics[Verse 1: Zayn, Harry]
Oh, I just wanna take you anywhere that you'd like
We could go out any day, any night
Baby, I'll take you there, take you there
Baby, I'll take you there, yeah
Oh, tell me, tell me, tell me how to turn your love on
You can get, get anything that you want
Baby, just shout it out, shout it out
Baby, just shout it out, yeah

[Pre-Chorus: Liam, Harry]
And if you, you want me too, let's make a move
Yeah, so tell me, girl, if every time we

[Chorus: All, Harry]
Touch
You get this kinda rush
Baby, say, ""Yeah, yeah, yeah""
""Yeah, yeah, yeah""
If you don't wanna take it slow
And you just wanna take me home
Baby, say, ""Yeah, yeah, yeah""
""Yeah, yeah""
And let me kiss you

[Post-Chorus]
Let me kiss you
You might also like[Verse 2: Zayn, Niall]
Oh, baby, baby, don't you know you got what I need?
Looking so good from your head to your feet
Come on, come over here, over here
Come on, come over here, yeah
Oh, I just wanna show you off to all of my friends
Making them drool down their chinny-chin-chins
Baby, be mine tonight, mine tonight
Baby, be mine tonight, yeah

[Pre-Chorus: Liam, Zayn]
And if you, you want me too, let's make a move
Yeah, so tell me, girl, if every time we

[Chorus: All, Niall, Zayn]
Touch
You get this kinda rush
Baby, say, ""Yeah, yeah, yeah""
""Yeah, yeah, yeah""
If you don't wanna take it slow (C'mon)
And you just wanna take me home
Baby, say, ""Yeah, yeah, yeah""
""Yeah, yeah""
And let me kiss you

[Post-Chorus]
Let me kiss you
Let me kiss you
Let me kiss you
[Outro: Zayn]
Let me kiss youEmbed"
