search_name,artist_id,artist_name,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url,song_id,song_artist_names,song_title,song_annotation_count,song_api_path,song_full_title,song_header_image_thumbnail_url,song_header_image_url,song_lyrics_owner_id,song_lyrics_state,song_path,song_pyongs_count,song_song_art_image_thumbnail_url,song_song_art_image_url,song_title_with_featured,song_url,lyrics
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9156096,Post Malone,Don’t Understand,2,/songs/9156096,Don't Understand by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,126836,complete,/Post-malone-dont-understand-lyrics,,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Don't Understand,https://genius.com/Post-malone-dont-understand-lyrics,"33 ContributorsTranslationsPortuguêsFrançaisEspañolDeutschРусскийItalianoTürkçeDon’t Understand Lyrics[Verse 1]
I'm a rolling stone
It took you by surprise
You're hangin' onto something, anything
Just like a shimmer of light
Oh, how the sword, it fell
I said, ""You're really something, everything
To me, and I'm cold
So hold me closer, baby""

[Chorus]
I don't understand why you like me so much
'Cause I don't like myself
I don't understand why you like me so much
Wish I was someone else
You say you got a million reasons
But I can't think of one
I don't understand why you like me so much
'Cause I don't like myself, mm-mm

[Verse 2]
I'll build a church for you
They'll come from miles around
Girl, you're really somеthing, everything
To me, and I'm cold
So hold mе closer, baby
See Post Malone LiveGet tickets as low as $130You might also like[Chorus]
I don't understand how you like me so much
'Cause I don't like myself
I don't understand how you like me so much
Wish I was someone else
You say you got a million reasons
But I can't think of one
I don't understand how you like me so much
'Cause I don't like myself, mm-mm, mm-mmEmbed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9156097,Post Malone,Something Real,18,/songs/9156097,Something Real by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,8280771,complete,/Post-malone-something-real-lyrics,3.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Something Real,https://genius.com/Post-malone-something-real-lyrics,"49 ContributorsTranslationsPortuguêsEspañolDeutschРусскийSomething Real Lyrics[Chorus]
Give me somethin' I can feel
Light a cigarette just so I can breathe
Give me somethin', somethin' real (Yeah)
Seven hundred feet off the coast of Greece
Give me somethin' I can feel (Yeah)
No reservation, pull up twenty deep
Give me somethin', somethin' real (Yeah)
I would trade it all just to be at peace

[Verse 1]
Stop, the gear's too high, this is overload
And no matter what car is sittin' outside, it's a lonely road
It's a double-еdge sword, cuttin' off ties with the onеs I know
So tell me, how the fuck am I still alive? It's a miracle, oh

[Pre-Chorus]
(No-o-o) And I can't believe, ran through a B at Louis V
It's what I need right now
(No-o-o) It's just money at the gates of hell, no VIP
Everybody waits in line

[Chorus]
So give me somethin' I can feel
720S, 750V
Give me somethin', somethin' real (Yeah)
I was in Maldives sippin' burgundy
Give me something I can feel (Yeah)
Prada on my dick, Prada on my sleeve
Give me somethin', somethin' real (Yeah)
I could play that pussy like it's ""Für Elise""
See Post Malone LiveGet tickets as low as $130You might also like[Verse 2]
I got real habits, I'm a snowmobile addict
Teal Patek steel when I feel panic, ah-ah, ahh
Throw a mil' at it; problem, throw a pill at it
Still at it, sign-another-deal addict (Ah-ah, ahh)

[Pre-Chorus]
And I can't believe everybody gets to drink for free
So give me one more round (Oh-oh-oh)
No cover fee at the gates of hell, no VIP
Everybody waits in line

[Chorus]
So give me somethin' I can feel
Light a cigarette just so I can breathe
Give me somethin', somethin' real (Yeah)
How much psilocybin can a human eat?
Give me somethin' I can feel (Yeah)
Whiskey lullaby just to fall asleep
Give me somethin', somethin' real (Yeah)
And it's what I want, it ain't what I need
Give me somethin' I can feel (Yeah, ooh)
Got everything, guess I'm hard to please
Give me somethin', somethin' real (Yeah, ooh)
I would trade my life just to be at peace
[Outro]
Give me somethin' I can feel (Ahh, ooh)
Give me somethin', somethin' real3Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9006590,Post Malone,Chemical,11,/songs/9006590,Chemical by Post Malone,https://images.genius.com/93e2f0204a0e1df474c9111984c81ec8.300x300x1.png,https://images.genius.com/93e2f0204a0e1df474c9111984c81ec8.1000x1000x1.png,5748418,complete,/Post-malone-chemical-lyrics,9.0,https://images.genius.com/93e2f0204a0e1df474c9111984c81ec8.300x300x1.png,https://images.genius.com/93e2f0204a0e1df474c9111984c81ec8.1000x1000x1.png,Chemical,https://genius.com/Post-malone-chemical-lyrics,"76 ContributorsTranslationsEspañolPortuguêsFrançaisItalianoTürkçeDeutschРусскийChemical Lyrics[Verse 1]
Oxytocin makin' it all okay
When I come back down, it doesn't feel the same
Now, I'm sittin' 'round waitin' for the world to end all day
'Cause I couldn't leave you if I tried

[Pre-Chorus]
You break me, then I break my rules
Last time was the last time too
It's fucked up, I know, but I'm still

[Chorus]
Outside of the party, smokin' in the car with you
Seven-nation army fightin' at the bar with you
Tell you that I'm sorry, tell me what I gotta do
'Cause I can't let go, it's chemical
No, I can't let go, it's chemical

[Verse 2]
Every time I'm ready to make a change (Mhm)
You turn around and fuck out all my brains (Woo)
I ain't tryna fight fate, it's too late to save face
I can't get away, maybe there's no mistakes (Maybe there's no mistakes)

[Pre-Chorus]
You break me, then I break my rules
Last time was the last time too
It's fucked up, I know, but I'm still, still
See Post Malone LiveGet tickets as low as $130You might also like[Chorus]
Outside of the party, smokin' in the car with you
Seven-nation army fightin' at the bar with you
Tell you that I'm sorry, tell me what I gotta do
'Cause I can't let go, it's chemical (Chemical)
No, I can't let go, it's chemical (Chemical)
No, I can't let go, it's chemical

[Bridge]
I can't let go, it's chemical
Ah-ah-ah, ah-ah-ah, ah-ah-ah

[Outro]
Tell you that I'm sorry, tell me what I gotta do
No, I can't let go, it's chemical9Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9156098,Post Malone,Novacandy,9,/songs/9156098,Novacandy by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,8280771,complete,/Post-malone-novacandy-lyrics,1.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Novacandy,https://genius.com/Post-malone-novacandy-lyrics,"29 ContributorsTranslationsPortuguêsFrançaisDeutschРусскийNovacandy Lyrics[Intro]
Novacandy
Anesthesia
Adenosine, uh
And that's my favorite girl

[Chorus]
No, I never felt anything better than this
You can tell by the look on my face
Nothin' lasts forever, so I look at my wrist
Dopamine overdose
No, I never felt anything better than this
I would give up my tongue for a taste
Even though I know it's catch-and-release
Dopamine overdose

[Verse 1]
Put on my old coat, and I found new drugs
Wanna thank young me for gettin' me fucked up
And a distant relative just bit the dust
Somehow I'm in the will for a million bucks
And baby, I just won a free fuckin' trip to Disneyland
I just got a second blue check on Instagram
Oh, and it feels so good tonight
Let's act like we're never gonna get it back
See Post Malone LiveGet tickets as low as $130You might also like[Chorus]
No, I never felt anything better than this
You can tell by the look on my face
Nothin' lasts forever, so I look at my wrist
Dopamine overdose
No, I never felt anything better than this
I would give up my tongue for a taste
Even though I know it's catch-and-release
Dopamine overdose

[Verse 2]
Big sigh, ooh, what a ride
It's for life, then I changed my mind
Penthouse, but I lost my room key
'Nother minute, 'nother problem, 'nother brewski
Yeah, you know, it's funny how it goes
When everything is nothing 'cause all I ever wanted was more
And it feels so good tonight
Let's act like we're never gonna get it back

[Chorus]
No, I never felt anything better than this
You can tell by the look on my face
Nothin' lasts forever, so I look at my wrist
Dopamine overdose
No, I never felt anything better than this
I would give up my tongue for a taste
Even though I know it's catch-and-release
Dopamine overdose
[Outro]
Oh, oh-oh-oh, oh, oh-oh-oh
Oh, oh-oh-oh, oh, oh-oh-oh, overdose, mm
Oh, oh-oh-oh, oh, oh-oh-oh, overdose
Mm1Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9123773,Post Malone,Mourning,14,/songs/9123773,Mourning by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,5748418,complete,/Post-malone-mourning-lyrics,5.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Mourning,https://genius.com/Post-malone-mourning-lyrics,"49 ContributorsTranslationsPortuguês日本語DeutschTürkçeFrançaisMourning Lyrics[Chorus]
Don't wanna sober up
The sun is killin' my buzz, that's why they call it mourning
Thought I was strong enough
Threw my bottle at the sky, said, ""God, that's a warning""
Don't wanna sober up
Try to keep it inside, but I just wanna pour it
Thought I was strong enough
Got a lotta shit to say, couldn't fit it in the chorus

[Verse 1]
I just left Wally's, spent a Maserati
The way I gotta flex, you'd think I did Pilates
I call my quote-unquote friends, ""Do you got plans?""
Turns out everyone's free when the dinner is
Then they drag me to a party out in Malibu
After thirty High Noons, it was pretty cool
Tried to shoot my shot, she told me that she had a shoot
Bye-bye (Damn)

[Chorus]
Don't wanna sober up
The sun is killin' my buzz, that's why they call it mourning
Thought I was strong enough
Threw my bottle at the sky, said, ""God, that's a warning""
Don't wanna sober up
Try to keep it inside, but I just wanna pour it
Thought I was strong enough
Got a lotta shit to say, couldn't fit it in the chorus
See Post Malone LiveGet tickets as low as $130You might also like[Verse 2]
Stumblin' down the corridor, came across an open door
Throwin' up is easy and who put on the Commodores?
That's a nice tile floor, wish I got to know you more
Who am I talkin' to? Nobody
Take me outside, I'm a little too high
Paid a little too much for the time of my life
When money ain't a problem, everyone's lyin'
Even when I tell myself that I

[Chorus]
Don't wanna sober up
The sun is killin' my buzz, that's why they call it mourning
Thought I was strong enough
Threw my bottle at the sky, said, ""God, that's a warning""
Don't wanna sober up
Try to keep it inside, but I just wanna pour it
Thought I was strong enough
Got a lotta shit to say, couldn't fit it in the chorus5Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9188784,Post Malone,Too Cool To Die,14,/songs/9188784,Too Cool To Die by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,5748418,complete,/Post-malone-too-cool-to-die-lyrics,2.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Too Cool To Die,https://genius.com/Post-malone-too-cool-to-die-lyrics,"31 ContributorsTranslationsDeutschFrançaisTürkçeToo Cool To Die Lyrics[Verse 1]
I put a sunglass on, so I don't have to say hi (Hi)
Send a text after I'm gone, I don't say goodbye (Bye)
And my Miss USA called for a ride (Ride)
She filled my tank, I didn't spend a dime (Dime)

[Pre-Chorus]
And I don't mind at all
And I don't cry
Ask me how I feel
I'm dynamite, and it goes like

[Chorus]
I'm not here for long, my baby
I'm just passin' by
The world keeps gettin' hotter, baby
But I'm too cool to die

[Verse 2]
She wanna fuck me on a jet, but I'm scared to fly, ah-ah (Fly)
She wanna feed me fancy drinks and keep me up all night, ah-ah-ah (Night)
She asked me if I like this wedding ring
For fuck's sake, it's our first date
I did, and then I went
And bought it on the nеxt date, fits me great, uh
See Post Malone LiveGet tickets as low as $130You might also like[Pre-Chorus]
And I don't mind at all
And I don't cry (I don't cry, don't cry)
Ask mе how I feel
I'm dynamite, and it goes like

[Chorus]
I'm not here for long, my baby
I'm just passin' by (Passin' by)
The world keeps gettin' hotter, baby
But I'm too cool to die (I'm too cool, I'm too cool)
I'm not here for long, my baby (I'm not)
I'm just passin' by (I'm just passin' by)
The world keeps gettin' hotter, baby
But I'm too cool to die (I'm too cool to die)

[Outro]
I'm too cool to die
I'm too cool to die2Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9174766,Post Malone,Sign Me Up,2,/songs/9174766,Sign Me Up by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,126836,complete,/Post-malone-sign-me-up-lyrics,1.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Sign Me Up,https://genius.com/Post-malone-sign-me-up-lyrics,"23 ContributorsTranslationsPortuguêsFrançaisSign Me Up Lyrics[Intro]
(Ah-ah, ah-ah)
La-la, la-la
La-la, la-la (Yeah)

[Verse 1]
Met her at a party
She drove a red Ferrari
When we went to get naughty
Didn't care I was steppin' over bodies

[Pre-Chorus]
Some might say, some might say
I found a new religion
Some might say, some might say
I made a bad decision
Said you could have my heart
If I'm good when the rapture starts

[Chorus]
You sold me
There's no way that I could resist it (La, la)
Control me
It's startin' to sound realistic (La, la)
If you think I have a soul to save
I might have a little faith
Take that shit for a ride
You sold me
If your love is a cult, then I'm in it (Sign me up)
See Post Malone LiveGet tickets as low as $130You might also like[Verse 2]
I couldn't see it coming
There ain't no point in running
I'll even cut off all my hair and change my clothes
Ain't even call my mother
For love, you gotta suffer
I'm gettin' pretty good at doin' what I'm told

[Pre-Chorus]
Some might say, some might say
I found a new religion
Some might say, some might say
I made a bad decision
Said you could have my heart (My heart)
If I'm good when the rapture starts

[Chorus]
You sold me
There's no way that I could resist it (La, la)
Control me
It's startin' to sound realistic (La, la)
If you think I have a soul to save
I might have a little faith
Take that shit for a ride
You sold me
If your love is a cult, then I'm in it (Sign me up)
[Bridge]
But I knew the party was over
When she tried to take my alcohol

[Chorus]
You sold me
There's no way that I could resist it (La, la)
Control me
It's startin' to sound realistic (La, la, sign me up)
If you think I have a soul to save
I might have a little faith
Take that shit for a ride (For a ride)
You sold me
If your love is a cult, then I'm in it (Sign me up)

[Outro]
La-la, la-la
La-la, la-la1Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9174764,Post Malone,Socialite,7,/songs/9174764,Socialite by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,8280771,complete,/Post-malone-socialite-lyrics,1.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Socialite,https://genius.com/Post-malone-socialite-lyrics,"25 ContributorsTranslationsPortuguêsSocialite Lyrics[Intro]
(Fuck)
Ah-ah, ah-ah, ah-ah-ah

[Verse 1]
I'm always a drink away from a good day
Put on some Jodeci, gettin' loose, ayy
I pummel the coochie, I'm Bobby Boucher
Maybe that's why they put up with all my bullshit
And I bought a new Bentley without a roof, ayy
In LA they tell me my truck is stupid
Doin' cul-de-sac donuts, man, I'm a nuisance
I left my Prince with the Revolutions

[Pre-Chorus]
Get hammered all alone
But don't feel bad for me
And my chauffeur drinks Patrón
So call a cab for me, and I'll leave

[Chorus]
Fuck me up, it's only a body (Yeah, yeah, yeah)
If God exists, it shouldn't be a problem (Yeah, yeah, yeah)
Socialite

[Post-Chorus]
Ah, ah-ah, ah-ah, ah-ah-ah
See Post Malone LiveGet tickets as low as $130You might also like[Verse 2]
I'm feelin' naughty up on a Sunday
Fuck in thе backseat of a Hyundai
I'm callin' her Shrek 'causе she got a donkey
It's crazy how well we get along
My new best friend I just met
Now it's, ""Fuck everybody else""
You love someone for six weekends
And never talk to them again

[Pre-Chorus]
Call it what you want
It's such a tragedy (Ooh-ooh, ooh-ooh)
I pulled the shortest straw
Another casualty, guess I'll leave (Ooh-ooh)

[Chorus]
Fuck me up, it's only a body (Yeah, yeah, yeah)
If God exists, it shouldn't be a problem (Yeah, yeah, yeah)
Fuck me up, it's my birthday party (Yeah, yeah, yeah)
So tell me something we got in common (Yeah, yeah, yeah)
Socialite
Socialite

[Outro]
Ooh, ooh-ooh, ooh-ooh-ooh1Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9316732,Post Malone,Overdrive,5,/songs/9316732,Overdrive by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,1496916,complete,/Post-malone-overdrive-lyrics,5.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Overdrive,https://genius.com/Post-malone-overdrive-lyrics,"43 ContributorsTranslationsPortuguêsEspañolDeutschItalianoOverdrive Lyrics[Chorus]
I spend my nights on overdrive
I live my life so overtired
And there's nowhere I can hide
Now I live my life on overdrive

[Verse 1]
I could be more like him if that's cool to you
I'd do anything to be cool to you
Cool to you

[Chorus]
I spend my nights on overdrive
I live my life so uninspired
There ain't no angels in this world
So I live my life on overdrive

[Verse 2]
I'd remove my tattoos if that's cool to you
I'd do anything to be cool to you
Cool to you, uh

[Outro]
I could end it with her if that's cool to you
I'd do anything to be cool to youSee Post Malone LiveGet tickets as low as $130You might also like5Embed"
Post Malone,326362,Post Malone,/albums/1065621,https://images.genius.com/7290ecc597803afb51721afa0f7f9f4f.901x901x1.png,AUSTIN (Bonus) by Post Malone,1065621,AUSTIN (Bonus),"August 2, 2023",https://genius.com/albums/Post-malone/Austin-bonus,9174765,Post Malone,Speedometer,3,/songs/9174765,Speedometer by Post Malone,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,17955726,complete,/Post-malone-speedometer-lyrics,1.0,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.300x300x1.png,https://images.genius.com/a6f995c92e8bda19f032c2e4683c0383.1000x1000x1.png,Speedometer,https://genius.com/Post-malone-speedometer-lyrics,"27 ContributorsTranslationsPortuguêsItalianoSpeedometer Lyrics[Verse 1]
I just bought a new Lamborghini
That SOB goes two-twenty-five
You called my phone, said you wanted to see me
I couldn't think of a better reason to drive

[Pre-Chorus]
Lead pedal
For your lovin’ I would run all the lights
Won't let go
And I can't wait to push my speedometer

[Chorus]
Push my, push my, push my, push
Speedometer
Push my, push my, push my, push
Speedometer

[Verse 2]
Turn the lights off
And put the record on
That you showed me that makes you so horny
Let’s make a baby tonight

[Pre-Chorus]
Lead pedal
For your lovin' I would run all the lights
Damn, uh-oh
Yes, I know how fast I was going, please, officer
See Post Malone LiveGet tickets as low as $130You might also like[Chorus]
Push my, push my, push my, push
Speedometer
Push my, push my, push my, push
Speedometer

[Outro]
My speedometer
Speedometer
My speedometer
Push my, push my, push my
Push my, push my, push my, push1Embed"
