search_name,artist_id,artist_name,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url,song_id,song_artist_names,song_title,song_annotation_count,song_api_path,song_full_title,song_header_image_thumbnail_url,song_header_image_url,song_lyrics_owner_id,song_lyrics_state,song_path,song_pyongs_count,song_song_art_image_thumbnail_url,song_song_art_image_url,song_title_with_featured,song_url,lyrics
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10087337,​twenty one pilots,Overcompensate,17,/songs/10087337,Overcompensate by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,5748418,complete,/Twenty-one-pilots-overcompensate-lyrics,31.0,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Overcompensate,https://genius.com/Twenty-one-pilots-overcompensate-lyrics,"143 ContributorsTranslationsItalianoTürkçeРусскийPortuguêsDeutschFrançaisEspañolУкраїнськаHebrewOvercompensate Lyrics[Intro]
(Diese kleine unheimliche Insel hat mich zu einer Waffe gemacht)
(Wir glauben beide—)
(Cette petite île étrange a fait de moi une arme)
(Nous croyons tous les deux que nous pouvons l'utiliser pour changer l'élan de cette guerre)
(Esta pequeña isla espeluznante me ha convertido en un arma)
(Ambos creemos que podemos usarlo para cambiar el impulso de esta guerra)
Welcome back to Trench
Welcome back to Trench

[Break]
I created this world
To feel some control
Destroy it if I want
So I sing Sahlo Folina
Sahlo Folina
(Wait, what? Wait, what?)
(Wait, what? Wait, what?)

[Verse 1]
Earned my stripes, three hundred tracks in my Adidas track jacket
Bless your ear holes while you react, acting
Gobsmacked, don't hesitate
To maybe overcompensate
I feel like I was just here, same twitchin' in my eyes
Don't sleep on a boy who can't fall asleep twice
In the same night, and won't hesitate
To maybe overcompensate
See ​twenty one pilots LiveGet tickets as low as $56You might also like[Chorus]
I said I fly by the dangerous bend symbol (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate

[Verse 2]
Where am I from? I was born right here, just now
Originated right in front of your eyes
If you can't see, I am Clancy, prodigal son
Done running, come up with Josh Dun, wanted dead or alive
So now you pick who you serve, you bow to the masses
Get kicked to the curb for passin' the classes
Half empty, half full, save half for your taxes
Then overtake your former self

[Chorus]
I fly by the dangerous bend symbol (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate

[Bridge]
Days feel like a perfect length
I don't need them any longer, but for goodness' sake
Do the years seem way too short for my soul, corazón
Way too short for my soul, corazón
The days feel like a perfect length
I don't need them any longer, but for goodness' sake
Do the years seem way too short for my soul, corazón
Way too short for my soul, corazón
[Refrain]
Earned my stripes, three hundred tracks in my Adidas track jacket
Bless your ear holes while you react, acting
Gobsmacked, don't hesitate
To maybe overcompensate

[Chorus]
I said I fly by the dangerous bend symbol (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate
And then by the time I catch in my peripheral (Wait, what? Wait, what?)
Mm, don't hesitate to maybe overcompensate31Embed"
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111938,​twenty one pilots,Next Semester,7,/songs/10111938,Next Semester by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,6589156,complete,/Twenty-one-pilots-next-semester-lyrics,17.0,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Next Semester,https://genius.com/Twenty-one-pilots-next-semester-lyrics,"74 ContributorsTranslationsTürkçeItalianoУкраїнськаPortuguêsEspañolFrançaisHebrewNext Semester Lyrics[Intro]
No-no-no, no-no-no
No-no-no-no-no, no-no-no-no-no
No-no-no-no-no, no-no-no-no

[Verse 1]
Stand up straight now (Ooh-ooh-ooh)
Can't break down (Ooh-ooh-ooh-ooh)
Graduate now (Ooh-ooh-ooh)
I don't wanna be here, I don't wanna be here
It's a taste test (Ooh-ooh-ooh)
Of what I hate less (Ooh-ooh-ooh-ooh)
Can you die of anxiousness? (Ooh-ooh-ooh)
I don't wanna be here, I don't wanna be here
What's about to happen? What's about to happen?

[Chorus]
I remember
I remember certain things
What I was wearin'
The yellow dashes in the street
I prayed those lights would take me home
Then I heard, ""Hey, kid, get out of the road!"" (Yeah)

[Post-Chorus]
(Ooh-ooh-ooh, ooh-ooh-ooh-ooh, ooh-ooh-ooh)
I don't wanna be here, I don't wanna be here
See ​twenty one pilots LiveGet tickets as low as $56You might also like[Verse 2]
Can't feel my legs (Ooh-ooh-ooh)
I might suffocate (Ooh-ooh-ooh-ooh)
There's a pressure in my chest (Ooh-ooh-ooh)
I don't wanna be here, I don't wanna be here
What's about to happen? What's about to happen?

[Chorus]
I remember
I remember certain things
What I was wearin'
The yellow dashes in the street
I prayed those lights would take me home
Then I heard, ""Hey, kid, get out of the road!""

[Refrain]
(Oh, woah, oh, oh-woah)
(Oh, woah, oh, oh-woah, oh)
Can't change what you've done
Start fresh next semester

[Chorus]
I remember
I remember certain things
What I was wearin'
The yellow dashes in the street
I prayed those lights would take me home
Then I heard, ""Hey, kid, get out of the road!""
[Refrain]
(Oh, woah, oh, oh-woah) And then he slowed down
(Oh, woah, oh, oh-woah, oh) And rolled down his window
And he said
""Can't change what you've done
Start fresh next semester""

[Outro]
It's a taste test
Of what I hate less
I don't wanna be here
Start fresh with the new year
(Oh, ah, oh, oh-woah)
(Oh, ah, oh, oh-woah)
Can't change what you've done
Start fresh next semester17Embed"
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111939,​twenty one pilots,Backslide,23,/songs/10111939,Backslide by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,6589156,complete,/Twenty-one-pilots-backslide-lyrics,11.0,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Backslide,https://genius.com/Twenty-one-pilots-backslide-lyrics,"92 ContributorsTranslationsHebrewPortuguêsTürkçeItalianoУкраїнськаFrançaisEspañolBackslide Lyrics[Intro]
(I don't wanna)

[Verse 1]
Rat race, place to place, adding weight
Tendencies on repeat, innit?
Benefit from a shoe with no lace
Take the seat with the crease in it
I don't mind if it's lonely
I don't mind if it's fair
I don't care, you control me
Leading me anywhere

[Chorus]
I don't wanna backslide to where I've started from
There's no chance I will shake this again
'Cause I feel the pull, water's over my head
Strength enough for onе more time
Reach my hand abovе the tide
I'll take anything you have
If you could throw me a line
I should've loved you better
Do you think that now's the time
You should let go?
It's over my head
See ​twenty one pilots LiveGet tickets as low as $56You might also like[Verse 2]
Bad place, on a hundred-dollar bass
Kinda wishin' that I never did ""Saturday""
""Is that a stain? You should change
Are you doin' good?
Did you solve all of your problems?""
Thanks for asking, in a way, but
Accidentally uncovered a new one yesterday
What happened to what I brushed under the rug?
I used to be the champion of a world you can't see
Now I'm drowning in logistics

[Chorus]
I don't wanna backslide to where I've started from
There's no chance I will shake this again
'Cause I feel the pull, water's over my head
Strength enough for one more time
Reach my hand above the tide
I'll take anything you have
If you could throw me a line
I should've loved you better
Do you think that now's the time
You should let go?

[Bridge]
I don't mind if it's lonely (It's over my head)
I don't mind if it's fair (You should let go)
I don't care, you control me (It's over my head)
Leading me anywhere
[Chorus]
I'll take anything you have
If you could throw me a line
I should've loved you better
Do you think that now's the time
You should let go? (I don't mind if it's lonely)
It's over my head (I don't mind if it's fair)
You should let go
It's over my head

[Outro]
I don't wanna backslide11Embed"
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111941,​twenty one pilots,Midwest Indigo,0,/songs/10111941,Midwest Indigo by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-midwest-indigo-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Midwest Indigo,https://genius.com/Twenty-one-pilots-midwest-indigo-lyrics,8 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111942,​twenty one pilots,Routines In The Night,0,/songs/10111942,Routines In The Night by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-routines-in-the-night-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Routines In The Night,https://genius.com/Twenty-one-pilots-routines-in-the-night-lyrics,8 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111945,​twenty one pilots,Vignette,0,/songs/10111945,Vignette by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-vignette-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Vignette,https://genius.com/Twenty-one-pilots-vignette-lyrics,6 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111944,​twenty one pilots,The Craving (Jenna’s Version),1,/songs/10111944,The Craving (Jenna's Version) by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,6877117,complete,/Twenty-one-pilots-the-craving-jennas-version-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,The Craving (Jenna's Version),https://genius.com/Twenty-one-pilots-the-craving-jennas-version-lyrics,"14 ContributorsTranslationsTürkçeItalianoThe Craving (Jenna’s Version) LyricsLyrics from Live Performance

[Verse 1]
Seems I get in my own way
The more I think, the less I say
I hope I communicate the craving
Now I see intentions don't mean much

[Chorus]
Say enough, say enough
Did I let her know, let her know
If I found my body in chains
I'd lay down in wait
And hope she looks for me
And hope she looks for me

[Verse 2]
She just wants to catch a wave
Ride it off to the end of the days
I hope that I can satiate the craving
Now I see the gesture don't mean much

[Chorus]
Say enough, say enough
Did I let her know, lеt her know
If I found my body in chains
I'd lay down in wait
And hope she looks for mе
And hope she looks for me
See ​twenty one pilots LiveGet tickets as low as $56You might also like[Chorus]
Say enough, say enough
Did I let her know, let her know
If I found my body in chains
I'd lay down in wait

[Outro]
'Cause it's the fear of the unknown
That cripples every step we take
And I just hate to put this on her
But I swear that I will give more than I take away
Mm, the craving
Now I see intentions don't mean muchEmbed"
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111946,​twenty one pilots,Lavish,0,/songs/10111946,Lavish by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-lavish-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Lavish,https://genius.com/Twenty-one-pilots-lavish-lyrics,7 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111949,​twenty one pilots,Navigating,0,/songs/10111949,Navigating by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-navigating-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Navigating,https://genius.com/Twenty-one-pilots-navigating-lyrics,5 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
Twenty One Pilots,23796,​twenty one pilots,/albums/990150,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Clancy by ​twenty one pilots,990150,Clancy,"May 24, 2024",https://genius.com/albums/Twenty-one-pilots/Clancy,10111950,​twenty one pilots,Snap Back,0,/songs/10111950,Snap Back by ​twenty one pilots,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,14382351,unreleased,/Twenty-one-pilots-snap-back-lyrics,,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.300x300x1.png,https://images.genius.com/9abf18ca07ce3513522ea5b1ec286d79.1000x1000x1.png,Snap Back,https://genius.com/Twenty-one-pilots-snap-back-lyrics,6 ContributorsTranslationsTürkçeItalianoLyrics for this song have yet to be released. Please check back once the song has been released.Embed
