id,artist,title,lyrics,annotation_count,api_path,full_title,header_image_thumbnail_url,header_image_url,lyrics_owner_id,lyrics_state,path,pyongs_count,song_art_image_thumbnail_url,song_art_image_url,title_with_featured,url,album_api_path,album_cover_art_url,album_full_title,album_id,album_name,album_release_date_for_display,album_url
67402,Allen Stone,Unaware,"8 ContributorsUnaware Lyrics[Verse 1]
Every day the deficit grows
You spend more than you own
Papa always said to me
""Keep a close eye on your authority""

[Chorus]
'Cause you say that you cared
And I was unaware
You say that you cared
And I was unaware

[Hook]
All you do is push, pull, tear
We can't stretch it any farther
Push, pull, tear
We can't stretch it any farther

[Verse 2]
Every day taxes increase
So is this our land or is this our lease?
Papa says ""Son, it's the land of the free""
As he broke his back trying to make ends meet

[Chorus]
You say that you cared
And I was unaware
You say that you cared
And I was unaware
See Allen Stone LiveGet tickets as low as $54You might also like[Hook]
All you do is push, pull, tear
We can't stretch it any farther
Push, pull, tear
We can't stretch it any farther
Push, pull, tear
We can't stretch it any farther
Push, pull, tear

[Chorus]
'Cause you say that you cared
And I was unaware
You say that you cared
And I was unaware

[Hook]
'Cause all you do is push, pull, tear
'Cause all you do is push, pull, tear
Push, pull, tear
We can't stretch it any farther
Push, pull, tear
No, no, we can't stretch it any farther
Push, pull, tear
We can't stretch it any farther
We can't stretch it any farther
Push, pull, tear
We can't stretch it any farther, no, no10Embed",10,/songs/67402,Unaware by Allen Stone,https://images.rapgenius.com/6248f3270cbafc21d6333f20af103ba2.300x294x1.png,https://images.rapgenius.com/6248f3270cbafc21d6333f20af103ba2.704x691x1.png,3499648,complete,/Allen-stone-unaware-lyrics,10,https://images.rapgenius.com/6248f3270cbafc21d6333f20af103ba2.300x294x1.png,https://images.rapgenius.com/6248f3270cbafc21d6333f20af103ba2.704x691x1.png,Unaware,https://genius.com/Allen-stone-unaware-lyrics,/albums/15294,https://images.genius.com/6248f3270cbafc21d6333f20af103ba2.704x691x1.png,Allen Stone by Allen Stone,15294.0,Allen Stone,"August 3, 2011",https://genius.com/albums/Allen-stone/Allen-stone
522386,Allen Stone,Bed I Made,"12 ContributorsBed I Made Lyrics[Verse 1]
I took a plane over the stars
It didn't get me very far
Cause all my problems, they follow me
I flew to the moon
But it wasn't far enough away from you
Cause all our problems, they follow me

[Chorus 1]
And every night, I close my eyes
And all my troubles fade
And every morning when I rise
I'm just sleeping in this bed I made

[Verse 2]
One million times inside of my mind
I have justified, baby
But all my problems still follow me
And I discovered a way to cleverly avoid the blame
But all my problems still follow me

[Chorus 2]
And every night, I close my eyes
All my troubles fade
But every morning when I rise
I'm just sleeping in this bed I made
See Allen Stone LiveGet tickets as low as $54You might also like[Verse 3]
I can't outrun the pain, oh
Should have faced these demons as they came, yeah
And what I wouldn't trade
To make some room in this bed I made

[Chorus 3]
Cause every night, I close my eyes
And all my troubles fade
But every morning when I rise
I'm just sleeping in this bed [x2]
I'm just sleeping in this bed I made2Embed",2,/songs/522386,Bed I Made by Allen Stone,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,265740,complete,/Allen-stone-bed-i-made-lyrics,2,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Bed I Made,https://genius.com/Allen-stone-bed-i-made-lyrics,/albums/115385,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Radius by Allen Stone,115385.0,Radius,"May 27, 2015",https://genius.com/albums/Allen-stone/Radius
3640112,Allen Stone,Brown Eyed Lover,"7 ContributorsBrown Eyed Lover Lyrics[Intro]
Waiting
Waiting
Waiting

[Chorus]
I've got a brown eyed lover
On the other side of town
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)
She's got me upside tongue-tied
Twisted all around
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)

[Verse 1]
Well, I don't know
I can't tell
Will this last
Or just come and go?
It came so fast
And my feet feel cold
But my mind is for sure
And my heart remains
Oh, she's got everything you want
Wardrobe bought at the thrift shop
And all my friends adore her
She reminds me of my mother
She wonders how my day went
And don't care about my paychecks
Well, I don't wanna keep my baby waiting
See Allen Stone LiveGet tickets as low as $54You might also like[Chorus]
I've got a brown eyed lover
On the other side of town
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)
She's got me upside tongue-tied
Twisted all around
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)

[Verse 2]
Oh, let me think
What if she finds a man
Who's got so much more time
For her than me on his hands?
That don't make sense
Why would she wait so long
Just to run away?
Oh, she's got everything you want
Let's me pick the restaurants
And all my friends adore her
And I can still afford her
She wishes I'd stop worrying
About where my next paycheck is
Well, I don't wanna keep my baby waiting!
[Chorus]
I've got a brown eyed lover
On the other side of town
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)
She's got me upside tongue-tied
Twisted all around
I don't wanna keep her waiting
(I don't wanna keep her waiting, waiting)

I've got a brown eyed lover
On the other side of town
I don't wanna keep her waiting, ye
(I don't wanna keep her waiting, waiting)
She's got me upside tongue-tied
Twisted all around
I don't wanna keep her waiting
I don't wanna keep her waiting (I don't wanna keep her waiting, waiting)
I don't wanna keep her waiting (I don't wanna keep her waiting, waiting)
I don't wanna keep her waiting (I don't wanna keep her waiting, waiting)
I don't wanna keep her waiting3Embed",1,/songs/3640112,Brown Eyed Lover by Allen Stone,https://images.genius.com/a9d77547adad4b4940af65c3ff40850c.300x300x1.jpg,https://images.genius.com/a9d77547adad4b4940af65c3ff40850c.1000x1000x1.jpg,118961,complete,/Allen-stone-brown-eyed-lover-lyrics,3,https://images.genius.com/a9d77547adad4b4940af65c3ff40850c.300x300x1.jpg,https://images.genius.com/a9d77547adad4b4940af65c3ff40850c.1000x1000x1.jpg,Brown Eyed Lover,https://genius.com/Allen-stone-brown-eyed-lover-lyrics,/albums/563423,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,Building Balance by Allen Stone,563423.0,Building Balance,"November 8, 2019",https://genius.com/albums/Allen-stone/Building-balance
4878887,Allen Stone,Give You Blue,"7 ContributorsGive You Blue Lyrics[Verse 1]
I can't stop the rain
But I will keep you dry
If the shore feels far away
I'll be by your side
And when the storms arise
I will shelter you
When your sky is gray
I will give you blue

[Verse 2]
I can't move a mountain (I can't move, I can't move)
I am just a man (just a man, understand)
I can't undo what's happened (can't un-[do], but for you)
But I will understand (just a man, understand)
And although it may hurt
Baby, I'll tell you the truth
'Cause when your sky is gray
I will give you blue

[Verse 3]
I can't stop the rain (I can't stop, stop the rain)
But I will wipe your tears (but for you, stop it rain)
Oh, I wish I could take what hurts you (if I could, then I would)
And just make it disappear (just for you)
But I can't work no miracles
But I'll do what I can do
When your sky is gray
Well baby, I will give you blue
When your sky is gray
I will give you blue
Give you blueSee Allen Stone LiveGet tickets as low as $54You might also likeEmbed",1,/songs/4878887,Give You Blue by Allen Stone,https://images.genius.com/dc504069404f6e1aa0450e0f52e99c68.300x300x1.png,https://images.genius.com/dc504069404f6e1aa0450e0f52e99c68.440x440x1.png,4821628,complete,/Allen-stone-give-you-blue-lyrics,,https://images.genius.com/dc504069404f6e1aa0450e0f52e99c68.300x300x1.png,https://images.genius.com/dc504069404f6e1aa0450e0f52e99c68.440x440x1.png,Give You Blue,https://genius.com/Allen-stone-give-you-blue-lyrics,/albums/563423,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,Building Balance by Allen Stone,563423.0,Building Balance,"November 8, 2019",https://genius.com/albums/Allen-stone/Building-balance
1930003,Allen Stone,American Privilege,"14 ContributorsAmerican Privilege Lyrics[Hook]
(Robbing Peter to pay Paul)
(Cash that paycheck, spend it all)

[Verse 1]
Oh, it doesn't seem right
That I - I was born white
And my parents don't fight
Told me they love me each night
I don't lose sleep for kids sewing my sheets
Or the ones stitching my sneaks
As long as I can buy 'em both cheap

[Chorus] - x2
American privilege is blurring my vision
Inherited sickness

[Verse 2]
Everyday I, piss money away, I'm a material slave
Just trynna polish this ball and this chain
Cause I don't think twice, just keep it out of my sight
Bitch don't kill my vibe
No, bitch don't kill my vibe

[Chorus] - x2
See Allen Stone LiveGet tickets as low as $54You might also like[Bridge]
(Robbing Peter to pay Paul)
(Cash that paycheck, spend it all)
(Build that house up big and tall)
(Robbing Peter to pay Paul)
(Robbing Peter to pay Paul)
As long as I stay comfortable
(Cash that paycheck, spend it all)
On shit I’ll throw away next fall
(Build that house up big and tall)
Break the bank to build the wall
(Robbing Peter to pay Paul)
As long as I stay comfortable

[Chorus] - x2

(Robbing Peter to pay Paul)7Embed",9,/songs/1930003,American Privilege by Allen Stone,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,172030,complete,/Allen-stone-american-privilege-lyrics,7,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,American Privilege,https://genius.com/Allen-stone-american-privilege-lyrics,/albums/115385,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Radius by Allen Stone,115385.0,Radius,"May 27, 2015",https://genius.com/albums/Allen-stone/Radius
525621,Allen Stone,Circle,"6 ContributorsCircle Lyrics[Verse 1]
Time, what's with all this time?
The world rotates as I fall behind
Change, what's with all this change?
Years go by but I stay the same

[Verse 2]
Fear, what's with all this fear?
I push back but it always stays here
Pace, how can I keep this pace?
The damage done is now taking shape

[Chorus]
Inside of this circle, there are no corners to hide
Every line I follow leads me back inside
Gravity pulls me from the center every time
And gravity pulls me from my center every time

[Verse 3]
Hope, where did I lose my hope?
Life moves quick when you're quick to choke
Faith, where can a man find faith?
The damage done is now taking shape

[Chorus]See Allen Stone LiveGet tickets as low as $54You might also like3Embed",2,/songs/525621,Circle by Allen Stone,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,1192890,complete,/Allen-stone-circle-lyrics,3,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Circle,https://genius.com/Allen-stone-circle-lyrics,/albums/115385,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Radius by Allen Stone,115385.0,Radius,"May 27, 2015",https://genius.com/albums/Allen-stone/Radius
4878879,Allen Stone,Consider Me,"10 ContributorsConsider Me Lyrics[Verse 1]
If you're lookin' for somebody who
Will love you through the night
And be there in the morning with
The same look in their eyes
If you're lookin' for somebody who
Will listen to your thoughts
And understand the way you feel
With no words at all

[Pre-Chorus]
If you need appreciation
Without compensation
Someone to give you what you need
If you're looking for some magic
That will not end tragic
Darling all I ask is you consider me

[Chorus]
Consider me
Consider me
Consider me
Won't you consider me?
Consider me
Consider me
Consider me
Won't you consider me?
See Allen Stone LiveGet tickets as low as $54You might also like[Verse 2]
If you're looking for somebody who
Don't judge you from your past
And focuses on only things
That help to make it last
If you're looking for somebody who
Will put up with your shit
Can fight fire with fire
Without burning you a bit

[Pre-Chorus]
Oh, if you want real attraction
Beyond this skin we fashion
Someone to set your spirit free
Someone that you're obsessed with
And that you feel blessed with
Baby, all I ask is you consider me

[Chorus]
Consider me (Won't you consider me?)
Consider me (Won't you consider me?)
Consider me (Won't you consider me?)
Won't you consider me?
Consider me (Won't you consider me?)
Consider me (Won't you consider me?)
Consider me (Won't you consider me?)
Won't you consider me?
Baby don't delay it
I'ma find a way
To give you everything
If you consider me
At any time of day
I'll be there right away
Swear it on my grave
If you consider me

Won't you consider me?1Embed",0,/songs/4878879,Consider Me by Allen Stone,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.300x300x1.png,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,118961,complete,/Allen-stone-consider-me-lyrics,1,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.300x300x1.png,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,Consider Me,https://genius.com/Allen-stone-consider-me-lyrics,/albums/563423,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,Building Balance by Allen Stone,563423.0,Building Balance,"November 8, 2019",https://genius.com/albums/Allen-stone/Building-balance
1036087,Allen Stone,Love,"4 ContributorsLove Lyrics[Verse 1]
Your heart is like a rubber band
When you give it expands
And you might reach the stars
Depending on how flexible you are
Oh, life is like an ocean
Where everyone is floating
And if you want to find the beach, you
Gotta start kicking your feet

[Chorus]
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back

[Verse 2]
Your mind is like a flower bed
And whatever you feed your head
Determines all your fate
Whether you blossom or you suffocate
Peace is like a pattern
Where every angle matters (Matters)
And how you choose to see
Determines your functionality
See Allen Stone LiveGet tickets as low as $54You might also like[Chorus]
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back

[Interlude]

[Chorus]
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back
(Love) What a reflection
(Love) It's a natural fact
(Love) Every bit you create you get back1Embed",5,/songs/1036087,Love by Allen Stone,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,1681253,complete,/Allen-stone-love-lyrics,1,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.300x293x1.jpg,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Love,https://genius.com/Allen-stone-love-lyrics,/albums/115385,https://images.genius.com/9e2484740a23ab50704820b08ea2541a.564x551x1.jpg,Radius by Allen Stone,115385.0,Radius,"May 27, 2015",https://genius.com/albums/Allen-stone/Radius
383701,Allen Stone,Million,"3 ContributorsMillion Lyrics[Verse 1]
Moving a million miles a minute
Slow [x3]
Your pace is dangerously close to the limit
Slow [x3]

[Pre-Chorus]
Don't let time slip away
Tomorrow ain't here today

[Verse 2]
Wanna get loose?
Then just learn how to pivot
Slow [x3]
It's hard to lose fuckery
If you don't give it
Slow [x3]

[Pre-Chorus]

[Chorus]
Hidden behind all the time that we keep
Years, months, weeks
I gotta find the right mindset for me
Time ain't free
See Allen Stone LiveGet tickets as low as $54You might also like[Verse 1]

[Pre-Chorus]

[Chorus - x2]4Embed",3,/songs/383701,Million by Allen Stone,https://images.rapgenius.com/4062067b5d5f56ce990d95e41819b3e1.300x294x1.jpg,https://images.rapgenius.com/4062067b5d5f56ce990d95e41819b3e1.960x940x1.jpg,318663,complete,/Allen-stone-million-lyrics,4,https://images.rapgenius.com/4062067b5d5f56ce990d95e41819b3e1.300x294x1.jpg,https://images.rapgenius.com/4062067b5d5f56ce990d95e41819b3e1.960x940x1.jpg,Million,https://genius.com/Allen-stone-million-lyrics,,,,,,,
4877258,Allen Stone,Sunny Days,"3 ContributorsSunny Days Lyrics[Verse 1]
She gets me higher than a 747
Turns me up to 11
Man, this must be heaven
I never doubt her lovin' for a second
Two to three babies and a wedding
I'm spendin'

[Pre-Chorus]
Something's coming all over me
I'm obsessin' head over feet

[Chorus]
You know life
It ain't always sunny days
But right now
I can feel no rain on me
It would take so much hate
For my smile to leave
Because I know the one I love
She loves me
She loves me

[Verse 2]
She got me shootin' like Payton in the '90s
Everything's exciting
She's the wave that I am riding
The thunder to my lightning
She's the one and only cake that I am icing
See Allen Stone LiveGet tickets as low as $54You might also like[Pre-Chorus]
Something's coming all over me
I'm obsessin' head over feet

[Chorus]
You know life
It ain't always sunny days
But right now
I can feel no rain on me
It would take so much hate
For my smile to leave
Because I know the one I love
She loves me
She loves me

[Bridge]
Love, love, love
She loves me just right
Love, love, love
She loves me all night
Love, love, love
She loves me just right
Love, love, love
She loves me all night

[Chorus]
You know life
It ain't always sunny days
But right now
I can feel no rain on me
It would take so much hate
For my smile to leave
Because I know the one I love
She loves me
She loves me
[Outro]
Love, love, love
She loves me just right
Love, love, love
She loves me all night
Love, love, love
She loves me just right (it ain't always sunny days)
Love, love, love
She loves me all nightEmbed",1,/songs/4877258,Sunny Days by Allen Stone,https://images.genius.com/a88b6f806046a7ee0844fd00ddfce004.300x300x1.png,https://images.genius.com/a88b6f806046a7ee0844fd00ddfce004.440x440x1.png,118961,complete,/Allen-stone-sunny-days-lyrics,,https://images.genius.com/a88b6f806046a7ee0844fd00ddfce004.300x300x1.png,https://images.genius.com/a88b6f806046a7ee0844fd00ddfce004.440x440x1.png,Sunny Days,https://genius.com/Allen-stone-sunny-days-lyrics,/albums/563423,https://images.genius.com/7ebb66bbededa7e11ed67a3e36baf57d.614x614x1.png,Building Balance by Allen Stone,563423.0,Building Balance,"November 8, 2019",https://genius.com/albums/Allen-stone/Building-balance
